,class,setup,setup
80,Class RewriteAppenderTest,"[Log, Manager][.][Get, Logger, Repository][(][)][.][Reset, Configuration][(][)][;][Hashtable][Context][=][Mdc][.][Get, Context][(][)][If][(][Context][!=][Null][)][{][Context][.][Clear][(][)][;][}][Context][.][Clear][(][)][;]@@",log manager get logger repository reset configuration hashtable context mdc get context context null context clear context clear
81,Class BaseBean,@@,
82,Class MessageBean,@@,
83,Class RFATestCase,@@,
84,Class LocationInfoTest,@@,
85,Class NameSubstring,@@,
86,Class NameSubstringCaller,@@,
87,Class LoggingEventTest,@@,
88,Class BadMessage,@@,
89,Class ThrowableInformationTest,@@,
90,Class OverriddenThrowable,@@,
91,Class NotOverriddenThrowable,@@,
92,Class NullThrowable,@@,
93,Class EmptyThrowable,@@,
94,Class StringThrowable,@@,
95,Class NastyThrowable,@@,
96,Class StressCategory,@@,
97,Class CT,@@,
98,Class TestLogMF,@@,
99,Class TestLogSF,@@,
100,Class TestLogXF,@@,
101,Class BadStringifier,@@,
102,Class TTCCLayoutTest,@@,
103,Class AbsoluteDateAndTimeFilter,@@,
104,Class AbsoluteTimeFilter,@@,
105,Class Compare,@@,
106,Class ControlFilter,@@,
107,Class EnhancedJunitTestRunnerFilter,@@,
108,Class EnhancedLineNumberFilter,@@,
109,Class ISO8601Filter,@@,
110,Class JunitTestRunnerFilter,@@,
111,Class LineNumberFilter,@@,
112,Class RelativeTimeFilter,@@,
113,Class SerializationTestHelper,@@,
114,Class SunReflectFilter,@@,
115,Class Transformer,@@,
116,Class UnexpectedFormatException,@@,
117,Class XMLLineAttributeFilter,@@,
118,Class XMLTimestampFilter,@@,
119,Class ERFATestCase,@@,
120,Class ErrorHandlerTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][""test""][)][;]@@",root logger get root logger logger logger get logger test
121,Class LevelMatchFilterTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Root][.][Remove, All, Appenders][(][)][;]@@",root logger get root logger root remove all appenders
122,Class VectorAppender,@@,
123,Class VectorErrorHandler,@@,
124,Class CustomLevelTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][Custom, Level, Test, Case][.][Class][)][;]@@",root logger get root logger logger logger get logger custom level test
125,Class DOMTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][Dom, Test, Case][.][Class][)][;]@@",root logger get root logger logger logger get logger dom test
126,Class CustomLogger,@@,
127,Class CustomLoggerFactory,@@,
128,Class CustomErrorHandler,@@,
129,Class MockThrowableRenderer,@@,
130,Class XLevel,@@,
131,Class XMLLayoutTest,"[Ndc][.][Clear][(][)][;][If][(][Mdc][.][Get, Context][(][)][!=][Null][)][{][Mdc][.][Get, Context][(][)][.][Clear][(][)][;][}][Mdc][.][Get, Context][(][)][.][Clear][(][)][;]@@",ndc clear mdc get context null mdc get context clear mdc get context clear
132,Class ProblemLevel,@@,
133,Class XMLLayoutTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Root][.][Set, Level][(][Level][.][Trace][)][;][Logger][=][Logger][.][Get, Logger][(][Xml, Layout, Test, Case][.][Class][)][;][Logger][.][Set, Level][(][Level][.][Trace][)][;]@@",root logger get root logger root set level level trace logger logger get logger xml layout test logger set level level trace
134,Class X,@@,
